Total training steps: 781
Epoch 1/1:   4%|█                            | 29/781 [10:11<2:23:09, 11.42s/it]
step:1 - train/loss:0.078 - train/lr(1e-3):0.001 - train/original_loss:0.541
step:2 - train/loss:0.081 - train/lr(1e-3):0.001 - train/original_loss:0.720
step:3 - train/loss:0.078 - train/lr(1e-3):0.002 - train/original_loss:0.484
step:4 - train/loss:0.077 - train/lr(1e-3):0.003 - train/original_loss:0.431
step:5 - train/loss:0.082 - train/lr(1e-3):0.003 - train/original_loss:0.536
step:6 - train/loss:0.075 - train/lr(1e-3):0.004 - train/original_loss:0.532
step:7 - train/loss:0.076 - train/lr(1e-3):0.004 - train/original_loss:0.517
step:8 - train/loss:0.079 - train/lr(1e-3):0.005 - train/original_loss:0.634
step:9 - train/loss:0.079 - train/lr(1e-3):0.006 - train/original_loss:0.691
step:10 - train/loss:0.075 - train/lr(1e-3):0.006 - train/original_loss:0.546
step:10 - val/loss:0.106 - val/original_loss:0.695
step:11 - train/loss:0.075 - train/lr(1e-3):0.007 - train/original_loss:0.422
step:12 - train/loss:0.077 - train/lr(1e-3):0.008 - train/original_loss:0.534
step:13 - train/loss:0.078 - train/lr(1e-3):0.008 - train/original_loss:0.532
step:14 - train/loss:0.078 - train/lr(1e-3):0.009 - train/original_loss:0.527
step:15 - train/loss:0.076 - train/lr(1e-3):0.010 - train/original_loss:0.511
step:16 - train/loss:0.070 - train/lr(1e-3):0.010 - train/original_loss:0.697
step:17 - train/loss:0.071 - train/lr(1e-3):0.011 - train/original_loss:0.459
step:18 - train/loss:0.071 - train/lr(1e-3):0.012 - train/original_loss:0.682
step:19 - train/loss:0.069 - train/lr(1e-3):0.012 - train/original_loss:0.506
step:20 - train/loss:0.073 - train/lr(1e-3):0.013 - train/original_loss:0.469
step:20 - val/loss:0.100 - val/original_loss:0.677
step:21 - train/loss:0.068 - train/lr(1e-3):0.013 - train/original_loss:0.520
step:22 - train/loss:0.067 - train/lr(1e-3):0.014 - train/original_loss:0.601
step:23 - train/loss:0.063 - train/lr(1e-3):0.015 - train/original_loss:0.387
step:24 - train/loss:0.061 - train/lr(1e-3):0.015 - train/original_loss:0.480
step:25 - train/loss:0.068 - train/lr(1e-3):0.016 - train/original_loss:0.514
step:26 - train/loss:0.060 - train/lr(1e-3):0.017 - train/original_loss:0.797
step:27 - train/loss:0.056 - train/lr(1e-3):0.017 - train/original_loss:0.625
step:28 - train/loss:0.059 - train/lr(1e-3):0.018 - train/original_loss:0.839
step:29 - train/loss:0.053 - train/lr(1e-3):0.019 - train/original_loss:0.693
step:30 - train/loss:0.053 - train/lr(1e-3):0.019 - train/original_loss:0.762
step:30 - val/loss:0.081 - val/original_loss:0.762
step:31 - train/loss:0.052 - train/lr(1e-3):0.020 - train/original_loss:0.704
step:32 - train/loss:0.046 - train/lr(1e-3):0.021 - train/original_loss:0.662
step:33 - train/loss:0.050 - train/lr(1e-3):0.021 - train/original_loss:0.571
step:34 - train/loss:0.046 - train/lr(1e-3):0.022 - train/original_loss:0.593
step:35 - train/loss:0.042 - train/lr(1e-3):0.022 - train/original_loss:0.668
step:36 - train/loss:0.039 - train/lr(1e-3):0.023 - train/original_loss:0.684
step:37 - train/loss:0.033 - train/lr(1e-3):0.024 - train/original_loss:0.870
step:38 - train/loss:0.033 - train/lr(1e-3):0.024 - train/original_loss:0.893
step:39 - train/loss:0.030 - train/lr(1e-3):0.025 - train/original_loss:0.882
step:40 - train/loss:0.024 - train/lr(1e-3):0.026 - train/original_loss:0.992
step:40 - val/loss:0.040 - val/original_loss:1.463
step:41 - train/loss:0.021 - train/lr(1e-3):0.026 - train/original_loss:1.146
step:42 - train/loss:0.021 - train/lr(1e-3):0.027 - train/original_loss:1.502
step:43 - train/loss:0.020 - train/lr(1e-3):0.028 - train/original_loss:1.500
step:44 - train/loss:0.019 - train/lr(1e-3):0.028 - train/original_loss:1.453
step:45 - train/loss:0.019 - train/lr(1e-3):0.029 - train/original_loss:1.430
step:46 - train/loss:0.019 - train/lr(1e-3):0.029 - train/original_loss:1.750
step:47 - train/loss:0.019 - train/lr(1e-3):0.030 - train/original_loss:1.620
step:48 - train/loss:0.017 - train/lr(1e-3):0.031 - train/original_loss:1.472
step:49 - train/loss:0.019 - train/lr(1e-3):0.031 - train/original_loss:1.162
step:50 - train/loss:0.017 - train/lr(1e-3):0.032 - train/original_loss:1.589
step:50 - val/loss:0.031 - val/original_loss:1.739
step:51 - train/loss:0.017 - train/lr(1e-3):0.033 - train/original_loss:1.852
step:52 - train/loss:0.018 - train/lr(1e-3):0.033 - train/original_loss:1.693
step:53 - train/loss:0.017 - train/lr(1e-3):0.034 - train/original_loss:1.497
step:54 - train/loss:0.016 - train/lr(1e-3):0.035 - train/original_loss:1.576
step:55 - train/loss:0.018 - train/lr(1e-3):0.035 - train/original_loss:1.324
step:56 - train/loss:0.017 - train/lr(1e-3):0.036 - train/original_loss:1.302
step:57 - train/loss:0.017 - train/lr(1e-3):0.037 - train/original_loss:1.463
step:58 - train/loss:0.017 - train/lr(1e-3):0.037 - train/original_loss:1.679
step:59 - train/loss:0.017 - train/lr(1e-3):0.038 - train/original_loss:1.027
step:60 - train/loss:0.016 - train/lr(1e-3):0.038 - train/original_loss:1.521
step:60 - val/loss:0.030 - val/original_loss:1.666
step:61 - train/loss:0.015 - train/lr(1e-3):0.039 - train/original_loss:1.776
step:62 - train/loss:0.015 - train/lr(1e-3):0.040 - train/original_loss:1.442
step:63 - train/loss:0.014 - train/lr(1e-3):0.040 - train/original_loss:1.536
step:64 - train/loss:0.014 - train/lr(1e-3):0.041 - train/original_loss:1.768
step:65 - train/loss:0.014 - train/lr(1e-3):0.042 - train/original_loss:1.338
step:66 - train/loss:0.014 - train/lr(1e-3):0.042 - train/original_loss:1.859
step:67 - train/loss:0.015 - train/lr(1e-3):0.043 - train/original_loss:1.576
step:68 - train/loss:0.017 - train/lr(1e-3):0.044 - train/original_loss:1.409
step:69 - train/loss:0.017 - train/lr(1e-3):0.044 - train/original_loss:1.501
step:70 - train/loss:0.015 - train/lr(1e-3):0.045 - train/original_loss:1.543
step:70 - val/loss:0.029 - val/original_loss:1.727
step:71 - train/loss:0.016 - train/lr(1e-3):0.046 - train/original_loss:1.541
step:72 - train/loss:0.014 - train/lr(1e-3):0.046 - train/original_loss:1.416
step:73 - train/loss:0.014 - train/lr(1e-3):0.047 - train/original_loss:1.409
step:74 - train/loss:0.015 - train/lr(1e-3):0.047 - train/original_loss:1.685
step:75 - train/loss:0.015 - train/lr(1e-3):0.048 - train/original_loss:1.536
step:76 - train/loss:0.014 - train/lr(1e-3):0.049 - train/original_loss:1.817
step:77 - train/loss:0.014 - train/lr(1e-3):0.049 - train/original_loss:1.640
step:78 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.879
step:79 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.506
step:80 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.110
step:80 - val/loss:0.028 - val/original_loss:1.732
step:81 - train/loss:0.016 - train/lr(1e-3):0.050 - train/original_loss:1.393
step:82 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.210
step:83 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.574
step:84 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.329
step:85 - train/loss:0.013 - train/lr(1e-3):0.050 - train/original_loss:1.499
step:86 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.416
step:87 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.349
step:88 - train/loss:0.013 - train/lr(1e-3):0.050 - train/original_loss:1.627
step:89 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.579
step:90 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.921
step:90 - val/loss:0.026 - val/original_loss:1.848
step:91 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.335
step:92 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.630
step:93 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.284
step:94 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.349
step:95 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.710
step:96 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.734
step:97 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.483
step:98 - train/loss:0.014 - train/lr(1e-3):0.050 - train/original_loss:1.318
step:99 - train/loss:0.015 - train/lr(1e-3):0.050 - train/original_loss:1.579
