Total training steps: 200
Epoch 1/1:   4%|▎         | 31/833 [03:14<1:23:30,  6.25s/it]
step:1 - train/loss:0.047 - train/lr(1e-3):0.000 - train/original_loss:0.128
step:2 - train/loss:0.045 - train/lr(1e-3):0.000 - train/original_loss:0.116
step:3 - train/loss:0.045 - train/lr(1e-3):0.000 - train/original_loss:0.128
step:4 - train/loss:0.049 - train/lr(1e-3):0.000 - train/original_loss:0.238
step:5 - train/loss:0.044 - train/lr(1e-3):0.001 - train/original_loss:0.170
step:6 - train/loss:0.044 - train/lr(1e-3):0.001 - train/original_loss:0.196
step:7 - train/loss:0.044 - train/lr(1e-3):0.001 - train/original_loss:0.152
step:8 - train/loss:0.045 - train/lr(1e-3):0.001 - train/original_loss:0.215
step:9 - train/loss:0.045 - train/lr(1e-3):0.001 - train/original_loss:0.129
step:10 - train/loss:0.044 - train/lr(1e-3):0.001 - train/original_loss:0.120
step:11 - train/loss:0.045 - train/lr(1e-3):0.001 - train/original_loss:0.091
step:12 - train/loss:0.042 - train/lr(1e-3):0.001 - train/original_loss:0.154
step:13 - train/loss:0.041 - train/lr(1e-3):0.002 - train/original_loss:0.132
step:14 - train/loss:0.034 - train/lr(1e-3):0.002 - train/original_loss:0.144
step:15 - train/loss:0.036 - train/lr(1e-3):0.002 - train/original_loss:0.122
step:16 - train/loss:0.036 - train/lr(1e-3):0.002 - train/original_loss:0.143
step:17 - train/loss:0.033 - train/lr(1e-3):0.002 - train/original_loss:0.101
step:18 - train/loss:0.033 - train/lr(1e-3):0.002 - train/original_loss:0.131
step:19 - train/loss:0.025 - train/lr(1e-3):0.002 - train/original_loss:0.078
step:20 - train/loss:0.028 - train/lr(1e-3):0.002 - train/original_loss:0.122
step:21 - train/loss:0.021 - train/lr(1e-3):0.003 - train/original_loss:0.155
step:22 - train/loss:0.027 - train/lr(1e-3):0.003 - train/original_loss:0.206
step:23 - train/loss:0.028 - train/lr(1e-3):0.003 - train/original_loss:0.131
step:24 - train/loss:0.023 - train/lr(1e-3):0.003 - train/original_loss:0.153
step:25 - train/loss:0.017 - train/lr(1e-3):0.003 - train/original_loss:0.232
step:26 - train/loss:0.017 - train/lr(1e-3):0.003 - train/original_loss:0.199
step:27 - train/loss:0.017 - train/lr(1e-3):0.003 - train/original_loss:0.233
step:28 - train/loss:0.012 - train/lr(1e-3):0.003 - train/original_loss:0.192
step:29 - train/loss:0.013 - train/lr(1e-3):0.003 - train/original_loss:0.269
step:30 - train/loss:0.013 - train/lr(1e-3):0.004 - train/original_loss:0.368
step:31 - train/loss:0.011 - train/lr(1e-3):0.004 - train/original_loss:0.403
step:32 - train/loss:0.011 - train/lr(1e-3):0.004 - train/original_loss:0.348
step:33 - train/loss:0.010 - train/lr(1e-3):0.004 - train/original_loss:0.422
step:34 - train/loss:0.009 - train/lr(1e-3):0.004 - train/original_loss:0.335
step:35 - train/loss:0.011 - train/lr(1e-3):0.004 - train/original_loss:0.333
step:36 - train/loss:0.011 - train/lr(1e-3):0.004 - train/original_loss:0.334
step:37 - train/loss:0.009 - train/lr(1e-3):0.004 - train/original_loss:0.356
step:38 - train/loss:0.013 - train/lr(1e-3):0.005 - train/original_loss:0.418
step:39 - train/loss:0.010 - train/lr(1e-3):0.005 - train/original_loss:0.431
step:40 - train/loss:0.007 - train/lr(1e-3):0.005 - train/original_loss:0.546
step:40 - val/loss:0.007 - val/original_loss:0.502
step:41 - train/loss:0.007 - train/lr(1e-3):0.005 - train/original_loss:0.477
step:42 - train/loss:0.006 - train/lr(1e-3):0.005 - train/original_loss:0.650
step:43 - train/loss:0.004 - train/lr(1e-3):0.005 - train/original_loss:0.467
step:44 - train/loss:0.009 - train/lr(1e-3):0.005 - train/original_loss:0.801
step:45 - train/loss:0.007 - train/lr(1e-3):0.005 - train/original_loss:0.607
step:46 - train/loss:0.005 - train/lr(1e-3):0.006 - train/original_loss:0.621
step:47 - train/loss:0.004 - train/lr(1e-3):0.006 - train/original_loss:0.688
step:48 - train/loss:0.004 - train/lr(1e-3):0.006 - train/original_loss:0.715
step:49 - train/loss:0.005 - train/lr(1e-3):0.006 - train/original_loss:0.511
step:50 - train/loss:0.004 - train/lr(1e-3):0.006 - train/original_loss:0.532
step:51 - train/loss:0.004 - train/lr(1e-3):0.006 - train/original_loss:0.614
step:52 - train/loss:0.003 - train/lr(1e-3):0.006 - train/original_loss:1.112
step:53 - train/loss:0.004 - train/lr(1e-3):0.006 - train/original_loss:0.736
step:54 - train/loss:0.003 - train/lr(1e-3):0.007 - train/original_loss:0.515
step:55 - train/loss:0.003 - train/lr(1e-3):0.007 - train/original_loss:0.872
step:56 - train/loss:0.004 - train/lr(1e-3):0.007 - train/original_loss:1.110
step:57 - train/loss:0.005 - train/lr(1e-3):0.007 - train/original_loss:0.598
