Epoch 1/1:   3%|▎         | 31/937 [04:23<2:13:26,  8.84s/it]
step:1 - train/loss:0.014 - train/lr(1e-3):0.000 - train/original_loss:0.121
step:2 - train/loss:0.001 - train/lr(1e-3):0.000 - train/original_loss:-0.086
step:3 - train/loss:-0.010 - train/lr(1e-3):0.000 - train/original_loss:-0.054
step:4 - train/loss:-0.004 - train/lr(1e-3):0.000 - train/original_loss:-0.240
step:5 - train/loss:-0.000 - train/lr(1e-3):0.001 - train/original_loss:0.136
step:6 - train/loss:0.005 - train/lr(1e-3):0.001 - train/original_loss:0.101
step:7 - train/loss:0.011 - train/lr(1e-3):0.001 - train/original_loss:0.119
step:8 - train/loss:0.020 - train/lr(1e-3):0.001 - train/original_loss:0.101
step:9 - train/loss:0.006 - train/lr(1e-3):0.001 - train/original_loss:0.114
step:10 - train/loss:-0.014 - train/lr(1e-3):0.001 - train/original_loss:-0.059
step:11 - train/loss:0.004 - train/lr(1e-3):0.001 - train/original_loss:-0.211
step:12 - train/loss:-0.008 - train/lr(1e-3):0.001 - train/original_loss:-0.177
step:13 - train/loss:-0.001 - train/lr(1e-3):0.001 - train/original_loss:-0.064
step:14 - train/loss:-0.010 - train/lr(1e-3):0.002 - train/original_loss:-0.026
step:15 - train/loss:-0.000 - train/lr(1e-3):0.002 - train/original_loss:-0.049
step:16 - train/loss:0.014 - train/lr(1e-3):0.002 - train/original_loss:0.116
step:17 - train/loss:-0.010 - train/lr(1e-3):0.002 - train/original_loss:-0.045
step:18 - train/loss:0.007 - train/lr(1e-3):0.002 - train/original_loss:0.109
step:19 - train/loss:-0.017 - train/lr(1e-3):0.002 - train/original_loss:-0.071
step:20 - train/loss:-0.001 - train/lr(1e-3):0.002 - train/original_loss:-0.062
step:21 - train/loss:-0.003 - train/lr(1e-3):0.002 - train/original_loss:0.075
step:22 - train/loss:-0.017 - train/lr(1e-3):0.002 - train/original_loss:0.110
step:23 - train/loss:0.014 - train/lr(1e-3):0.002 - train/original_loss:-0.086
step:24 - train/loss:-0.003 - train/lr(1e-3):0.003 - train/original_loss:-0.056
step:25 - train/loss:-0.006 - train/lr(1e-3):0.003 - train/original_loss:-0.137
step:26 - train/loss:-0.001 - train/lr(1e-3):0.003 - train/original_loss:-0.134
step:27 - train/loss:0.002 - train/lr(1e-3):0.003 - train/original_loss:-0.022
step:28 - train/loss:0.009 - train/lr(1e-3):0.003 - train/original_loss:0.167
step:29 - train/loss:0.004 - train/lr(1e-3):0.003 - train/original_loss:0.087
step:30 - train/loss:-0.004 - train/lr(1e-3):0.003 - train/original_loss:0.172
step:31 - train/loss:-0.015 - train/lr(1e-3):0.003 - train/original_loss:0.096
step:32 - train/loss:-0.002 - train/lr(1e-3):0.003 - train/original_loss:-0.103
step:33 - train/loss:0.010 - train/lr(1e-3):0.004 - train/original_loss:0.098
step:34 - train/loss:-0.007 - train/lr(1e-3):0.004 - train/original_loss:-0.044
step:35 - train/loss:-0.005 - train/lr(1e-3):0.004 - train/original_loss:0.107
step:36 - train/loss:-0.024 - train/lr(1e-3):0.004 - train/original_loss:-0.333
step:37 - train/loss:-0.001 - train/lr(1e-3):0.004 - train/original_loss:-0.111
step:38 - train/loss:-0.013 - train/lr(1e-3):0.004 - train/original_loss:0.124
step:39 - train/loss:-0.013 - train/lr(1e-3):0.004 - train/original_loss:-0.145
step:40 - train/loss:-0.013 - train/lr(1e-3):0.004 - train/original_loss:0.135
step:40 - val/loss:-0.008 - val/original_loss:-0.031
step:41 - train/loss:-0.024 - train/lr(1e-3):0.004 - train/original_loss:-0.171
step:42 - train/loss:-0.007 - train/lr(1e-3):0.005 - train/original_loss:0.195
step:43 - train/loss:-0.003 - train/lr(1e-3):0.005 - train/original_loss:-0.108
step:44 - train/loss:-0.005 - train/lr(1e-3):0.005 - train/original_loss:-0.051
step:45 - train/loss:-0.012 - train/lr(1e-3):0.005 - train/original_loss:0.230
step:46 - train/loss:-0.005 - train/lr(1e-3):0.005 - train/original_loss:0.151
step:47 - train/loss:-0.017 - train/lr(1e-3):0.005 - train/original_loss:-0.081
step:48 - train/loss:-0.005 - train/lr(1e-3):0.005 - train/original_loss:-0.266
step:49 - train/loss:-0.024 - train/lr(1e-3):0.005 - train/original_loss:-0.261
step:50 - train/loss:-0.031 - train/lr(1e-3):0.005 - train/original_loss:-0.129
step:51 - train/loss:-0.001 - train/lr(1e-3):0.005 - train/original_loss:-0.110
step:52 - train/loss:-0.011 - train/lr(1e-3):0.006 - train/original_loss:0.374
step:53 - train/loss:-0.039 - train/lr(1e-3):0.006 - train/original_loss:-1.533
step:54 - train/loss:-0.084 - train/lr(1e-3):0.006 - train/original_loss:-0.999
step:55 - train/loss:0.014 - train/lr(1e-3):0.006 - train/original_loss:-0.173
step:56 - train/loss:-0.020 - train/lr(1e-3):0.006 - train/original_loss:-2.129
step:57 - train/loss:0.044 - train/lr(1e-3):0.006 - train/original_loss:2.593
step:58 - train/loss:0.024 - train/lr(1e-3):0.006 - train/original_loss:0.464
step:59 - train/loss:-0.058 - train/lr(1e-3):0.006 - train/original_loss:-1.729
step:60 - train/loss:0.015 - train/lr(1e-3):0.006 - train/original_loss:-3.954
step:61 - train/loss:0.004 - train/lr(1e-3):0.007 - train/original_loss:-2.244
step:62 - train/loss:0.013 - train/lr(1e-3):0.007 - train/original_loss:-0.099
step:63 - train/loss:0.023 - train/lr(1e-3):0.007 - train/original_loss:0.912
step:64 - train/loss:0.006 - train/lr(1e-3):0.007 - train/original_loss:-0.308
step:65 - train/loss:-0.007 - train/lr(1e-3):0.007 - train/original_loss:-0.450
step:66 - train/loss:-0.013 - train/lr(1e-3):0.007 - train/original_loss:-0.171
step:67 - train/loss:-0.001 - train/lr(1e-3):0.007 - train/original_loss:0.327
