Epoch 1/1:   2%|▏         | 31/1250 [03:15<2:06:40,  6.24s/it]
step:1 - train/loss:0.035 - train/lr(1e-3):0.000 - train/original_loss:0.110
step:2 - train/loss:0.038 - train/lr(1e-3):0.000 - train/original_loss:0.104
step:3 - train/loss:-0.002 - train/lr(1e-3):0.000 - train/original_loss:0.135
step:4 - train/loss:-0.025 - train/lr(1e-3):0.000 - train/original_loss:0.113
step:5 - train/loss:-0.026 - train/lr(1e-3):0.000 - train/original_loss:-0.051
step:6 - train/loss:-0.007 - train/lr(1e-3):0.000 - train/original_loss:0.103
step:7 - train/loss:0.009 - train/lr(1e-3):0.001 - train/original_loss:0.093
step:8 - train/loss:0.027 - train/lr(1e-3):0.001 - train/original_loss:0.122
step:9 - train/loss:0.044 - train/lr(1e-3):0.001 - train/original_loss:0.103
step:10 - train/loss:0.027 - train/lr(1e-3):0.001 - train/original_loss:0.116
step:11 - train/loss:0.046 - train/lr(1e-3):0.001 - train/original_loss:0.091
step:12 - train/loss:0.043 - train/lr(1e-3):0.001 - train/original_loss:0.112
step:13 - train/loss:-0.034 - train/lr(1e-3):0.001 - train/original_loss:0.127
step:14 - train/loss:-0.015 - train/lr(1e-3):0.001 - train/original_loss:0.080
step:15 - train/loss:-0.009 - train/lr(1e-3):0.001 - train/original_loss:-0.030
step:16 - train/loss:-0.049 - train/lr(1e-3):0.001 - train/original_loss:-0.060
step:17 - train/loss:0.000 - train/lr(1e-3):0.001 - train/original_loss:-0.099
step:18 - train/loss:-0.016 - train/lr(1e-3):0.001 - train/original_loss:-0.261
step:19 - train/loss:0.023 - train/lr(1e-3):0.002 - train/original_loss:-0.150
step:20 - train/loss:-0.034 - train/lr(1e-3):0.002 - train/original_loss:-0.062
step:21 - train/loss:0.069 - train/lr(1e-3):0.002 - train/original_loss:-0.073
step:22 - train/loss:-0.034 - train/lr(1e-3):0.002 - train/original_loss:-0.223
step:23 - train/loss:-0.024 - train/lr(1e-3):0.002 - train/original_loss:-0.070
step:24 - train/loss:0.011 - train/lr(1e-3):0.002 - train/original_loss:-0.074
step:25 - train/loss:-0.079 - train/lr(1e-3):0.002 - train/original_loss:-0.049
step:26 - train/loss:-0.022 - train/lr(1e-3):0.002 - train/original_loss:0.092
step:27 - train/loss:-0.005 - train/lr(1e-3):0.002 - train/original_loss:-0.078
step:28 - train/loss:-0.018 - train/lr(1e-3):0.002 - train/original_loss:0.056
step:29 - train/loss:-0.067 - train/lr(1e-3):0.002 - train/original_loss:-0.077
step:30 - train/loss:0.028 - train/lr(1e-3):0.002 - train/original_loss:0.129
step:31 - train/loss:-0.031 - train/lr(1e-3):0.002 - train/original_loss:-0.064
step:32 - train/loss:-0.016 - train/lr(1e-3):0.003 - train/original_loss:-0.160
step:33 - train/loss:-0.050 - train/lr(1e-3):0.003 - train/original_loss:-0.184
step:34 - train/loss:0.076 - train/lr(1e-3):0.003 - train/original_loss:0.090
step:35 - train/loss:-0.091 - train/lr(1e-3):0.003 - train/original_loss:-0.336
step:36 - train/loss:-0.027 - train/lr(1e-3):0.003 - train/original_loss:-0.092
step:37 - train/loss:0.028 - train/lr(1e-3):0.003 - train/original_loss:-0.162
step:38 - train/loss:0.032 - train/lr(1e-3):0.003 - train/original_loss:0.083
step:39 - train/loss:-0.076 - train/lr(1e-3):0.003 - train/original_loss:-0.125
step:40 - train/loss:-0.009 - train/lr(1e-3):0.003 - train/original_loss:-0.104
step:40 - val/loss:-0.049 - val/original_loss:-0.049
step:41 - train/loss:-0.019 - train/lr(1e-3):0.003 - train/original_loss:0.117
step:42 - train/loss:-0.094 - train/lr(1e-3):0.003 - train/original_loss:-0.194
step:43 - train/loss:-0.008 - train/lr(1e-3):0.003 - train/original_loss:-0.072
step:44 - train/loss:-0.015 - train/lr(1e-3):0.004 - train/original_loss:0.123
step:45 - train/loss:-0.114 - train/lr(1e-3):0.004 - train/original_loss:-0.394
step:46 - train/loss:-0.022 - train/lr(1e-3):0.004 - train/original_loss:0.273
step:47 - train/loss:-0.070 - train/lr(1e-3):0.004 - train/original_loss:-0.209
step:48 - train/loss:-0.183 - train/lr(1e-3):0.004 - train/original_loss:-0.202
step:49 - train/loss:-0.072 - train/lr(1e-3):0.004 - train/original_loss:0.101
