Epoch 1/1:   2%|▏         | 31/1250 [03:15<2:06:21,  6.22s/it]
step:1 - train/loss:0.035 - train/lr(1e-3):0.000 - train/original_loss:0.110
step:2 - train/loss:0.038 - train/lr(1e-3):0.000 - train/original_loss:0.104
step:3 - train/loss:-0.002 - train/lr(1e-3):0.000 - train/original_loss:0.135
step:4 - train/loss:-0.024 - train/lr(1e-3):0.000 - train/original_loss:0.113
step:5 - train/loss:-0.027 - train/lr(1e-3):0.000 - train/original_loss:-0.052
step:6 - train/loss:-0.006 - train/lr(1e-3):0.000 - train/original_loss:0.104
step:7 - train/loss:0.010 - train/lr(1e-3):0.001 - train/original_loss:0.093
step:8 - train/loss:0.027 - train/lr(1e-3):0.001 - train/original_loss:0.123
step:9 - train/loss:0.044 - train/lr(1e-3):0.001 - train/original_loss:0.103
step:10 - train/loss:0.027 - train/lr(1e-3):0.001 - train/original_loss:0.117
step:11 - train/loss:0.046 - train/lr(1e-3):0.001 - train/original_loss:0.092
step:12 - train/loss:0.043 - train/lr(1e-3):0.001 - train/original_loss:0.112
step:13 - train/loss:-0.034 - train/lr(1e-3):0.001 - train/original_loss:0.126
step:14 - train/loss:-0.016 - train/lr(1e-3):0.001 - train/original_loss:0.080
step:15 - train/loss:-0.008 - train/lr(1e-3):0.001 - train/original_loss:-0.030
step:16 - train/loss:-0.049 - train/lr(1e-3):0.001 - train/original_loss:-0.059
step:17 - train/loss:-0.000 - train/lr(1e-3):0.001 - train/original_loss:-0.099
step:18 - train/loss:-0.016 - train/lr(1e-3):0.001 - train/original_loss:-0.260
step:19 - train/loss:0.022 - train/lr(1e-3):0.002 - train/original_loss:-0.150
step:20 - train/loss:-0.034 - train/lr(1e-3):0.002 - train/original_loss:-0.061
step:21 - train/loss:0.069 - train/lr(1e-3):0.002 - train/original_loss:-0.074
step:22 - train/loss:-0.034 - train/lr(1e-3):0.002 - train/original_loss:-0.221
step:23 - train/loss:-0.025 - train/lr(1e-3):0.002 - train/original_loss:-0.070
step:24 - train/loss:0.012 - train/lr(1e-3):0.002 - train/original_loss:-0.073
step:25 - train/loss:-0.080 - train/lr(1e-3):0.002 - train/original_loss:-0.047
step:26 - train/loss:-0.021 - train/lr(1e-3):0.002 - train/original_loss:0.093
step:27 - train/loss:-0.004 - train/lr(1e-3):0.002 - train/original_loss:-0.080
step:28 - train/loss:-0.015 - train/lr(1e-3):0.002 - train/original_loss:0.057
step:29 - train/loss:-0.062 - train/lr(1e-3):0.002 - train/original_loss:-0.063
step:30 - train/loss:0.030 - train/lr(1e-3):0.002 - train/original_loss:0.127
step:31 - train/loss:-0.029 - train/lr(1e-3):0.002 - train/original_loss:-0.067
step:32 - train/loss:-0.014 - train/lr(1e-3):0.003 - train/original_loss:-0.150
step:33 - train/loss:-0.044 - train/lr(1e-3):0.003 - train/original_loss:-0.169
step:34 - train/loss:0.075 - train/lr(1e-3):0.003 - train/original_loss:0.090
step:35 - train/loss:-0.090 - train/lr(1e-3):0.003 - train/original_loss:-0.326
step:36 - train/loss:-0.025 - train/lr(1e-3):0.003 - train/original_loss:-0.090
step:37 - train/loss:0.028 - train/lr(1e-3):0.003 - train/original_loss:-0.155
step:38 - train/loss:0.032 - train/lr(1e-3):0.003 - train/original_loss:0.082
step:39 - train/loss:-0.075 - train/lr(1e-3):0.003 - train/original_loss:-0.120
step:40 - train/loss:-0.008 - train/lr(1e-3):0.003 - train/original_loss:-0.102
step:40 - val/loss:-0.047 - val/original_loss:-0.047
